COMMENTS,STARS,English Comments,Roberta Model Polarity,Roberta Model Status,Roberta Result
iyi dersem yalan olur çok iyi değil oyun oynuyorsanız biraz zor gibi tuşlar ağar basıyor gibi günlük işinizi görür ama kabloları çok kısa,2,"it would be a lie if i say it's good. it's not very good if you're playing a game, it's a bit difficult, the keys seem to be getting heavy, but the cables are too short.",[0.8676484  0.11615302 0.01619855],Negative,True
Ürün güzel çok hoş,4,the product is very nice,[0.0019379  0.01278844 0.9852736 ],Positive,True
Gayet Güzel.,5,pretty good.,[0.00423849 0.03743368 0.95832783],Positive,True
güzel ve kullanışlı,5,beautiful and useful,[0.00405174 0.0452666  0.95068175],Positive,True
tavsiye ederim,4,i advise,[0.23264678 0.67294747 0.09440582],Non Positive,False
Klavye süper,5,keyboard super,[0.03327129 0.49478665 0.47194204],Non Negative,True
berbat kalitesiz kesinlikle önermiorum.,1,i definitely don't recommend it with terrible quality.,[0.92357403 0.06911612 0.00730963],Negative,True
Ürün gayet kullanışlı tereddüt etmeden alabilirsiniz :),5,"the product is very useful, you can buy it without hesitation :)",[0.00161627 0.01412755 0.9842561 ],Positive,True
klavyeyi oglum begendi ama mouse cocuk oyuncagi gibi kaltesiz kullanmiyorr.,4,"my son likes the keyboard, but the mouse does not use it like a child's toy.",[0.3089529  0.54895926 0.14208785],Non Positive,False
Renklendirme güzel kaltesini kullandıkça göreceğiz,4,we will see as we use the beautiful quality of coloring,[0.00460427 0.19939266 0.796003  ],Non Negative,True
fiyat cok uygun led olusu bir harika kargoda hizliydi tavsiye ederim👍,5,"the price is very affordable, it was a great led, the shipping was fast, i recommend it👍",[0.00159015 0.01477731 0.98363256],Positive,True
Gayet iyi guzel,5,pretty good nice,[0.00408779 0.02863958 0.96727264],Positive,True
cok memnun kaldik,5,we are very satisfied,[0.00337719 0.0437462  0.9528765 ],Positive,True
Çok beğendik çok güzeel gayet kullanışlı🌸,5,"we like it very much, very beautiful, very useful 🌸",[0.001292   0.01021677 0.98849106],Positive,True
Ürünün kalitesi 5 üzerinden 4 cidden parasına göre gayet güzel.Mouse biraz kalitesiz ama zaten önemli olan klavye,4,"the quality of the product is 4 out of 5, it's really good for its money. the mouse is a bit of poor quality, but the keyboard is already important.",[0.01322687 0.09838819 0.88838506],Positive,True
"Pek fazla bi beklentiye girmeye gerek yok kalitesine göre fiyatı fazla bile olabilir,bu kadar düşük puan vermemin sebebi yanında verilen mouse korkunç derecede dandik.",2,"there is no need to expect too much, the price may even be high according to the quality, the reason why i gave such a low score is that the mouse that was given next to it is terribly cheesy.",[0.71977454 0.24401227 0.03621309],Non Positive,True
ben ürünü kardeşime aldım aşırı kullanışlı,5,"i bought the product for my brother, it is very useful",[0.00156256 0.02717808 0.97125936],Positive,True
"Severek kullanıyorum, fiyatına göre çok kullanışlı.",5,"i use it fondly, it is very useful for its price.",[0.00182751 0.02112968 0.9770428 ],Positive,True
iyi fp ürünü,5,good fp product,[0.00601114 0.08827722 0.90571165],Positive,True
Siddettle tavsiye olunur... fiyatına göre mantiki.. gayet kaliteli urun,5,strongly recommended... logical for the price.. very good quality product,[0.00297763 0.0253882  0.9716342 ],Positive,True
çok beğendim güzel ürün her türlü işinizi görür,5,"i like it very much, nice product will do any job",[0.00247355 0.01761684 0.9799096 ],Positive,True
Gayet iyii ve kaliteli,5,pretty good and high quality,[0.00308339 0.04320083 0.95371586],Positive,True
Çok guzel memnun kaldım,5,i was very satisfied,[0.00331007 0.0391436  0.95754623],Positive,True
Güzel beğendim,5,"beautiful, i like it",[0.00371726 0.02576649 0.9705164 ],Positive,True
Oğlum çok sevdi çok güzel ürün,5,my son loved it very nice product,[0.00239604 0.00966818 0.98793566],Positive,True
"İyi ki almışım, iyi ki, iyi kiiiii",5,"good thing i got it, good thing, good kiiiii",[0.00584606 0.06139243 0.93276167],Positive,True
Gayet memnun kaldık,4,we are very satisfied,[0.00337719 0.0437462  0.9528765 ],Positive,True
çok güzel geldi kullanıyorum memnunum,4,it came very nice i am using it i am satisfied,[0.0019027  0.00944941 0.9886478 ],Positive,True
ürün harika çok memnun kaldım,5,the product is great i am very satisfied,[0.00165828 0.00755419 0.9907878 ],Positive,True
"Ürünü yalnışlıkla kablosuz diye aldım, kabloluymuş iade ettim.",5,"i accidentally bought the product as wireless, i returned it as wired.",[0.7315066  0.24967353 0.01882004],Non Positive,False
klavye çok iyi. ama mouse bir o kadar kötü. klavye cidden çok kaliteli,3,the keyboard is very good. but the mouse is just as bad. the keyboard is really good quality,[0.2070456  0.30394468 0.48900983],Cannot Find,False
İi güzelmiş,5,nice,[0.05261002 0.30866995 0.6387199 ],Non Negative,True
oyun oynamak icin aldım gercekten renkleri filan resimdeki gibi birebir,5,"i bought it to play games, the colors are exactly like in the picture.",[0.03724207 0.63202417 0.33073384],Non Negative,True
gayet güzel hicbir sorun yok tavsiye edilir,4,very good no problem recommended,[0.00383367 0.02422661 0.97193974],Positive,True
alakasız aldatmaca ürün,1,irrelevant scam product,[0.9372506  0.05734744 0.00540184],Negative,True
almayın göründüğü gibi bir ürün değil çok hafif ışıklı ofis klavyesi,1,"don't buy it, it's not what it looks like, very lightly illuminated office keyboard",[0.8253638  0.1585003  0.01613597],Negative,True
çok güzel kaliteli tavsiye ederim +çok hawlı duruyor müq yani,5,"very nice quality, i recommend it + it looks very haw, so",[0.00257823 0.01863572 0.978786  ],Positive,True
Çok hızlı geldi memnunum cihazdan,5,"it came very quickly, i'm happy with the device",[0.00142024 0.01355233 0.9850275 ],Positive,True
ürünün ledleri çalışmıyor,2,the leds of the product are not working,[0.93459773 0.06217914 0.00322328],Negative,True
ürün güzel hediye için teşekkür ederim,5,thank you for the beautiful gift,[0.00176101 0.00803984 0.9901992 ],Positive,True
hala paramı almadım,1,i still haven't received my money,[0.83331543 0.15382326 0.01286127],Negative,True
Tek kelimeyle harika kesinlikle bu fiyata daha iyisini bulamazsınız,5,"simply amazing, you can't find better for this price.",[0.03511674 0.08687616 0.87800723],Positive,True
ürün gayet başarılı,5,the product is very good,[0.00222454 0.01449009 0.98328525],Positive,True
Bu kadar dandik bi klavye olamaz.,3,it can't be such a crappy keyboard.,[0.92200255 0.06963504 0.00836247],Negative,True
tam bir fiyat performans ürünü diyebilirim. beklediğimden cok daha iyi geldi. pişman olmazsınız,5,i can say that it is a complete price performance product. it turned out much better than i expected. you won't regret,[0.00486485 0.02989793 0.9652373 ],Positive,True
Bu fiyata alınabilecek en mantıklı klavye mouse,4,the most sensible keyboard mouse you can buy at this price,[0.00661924 0.16363467 0.8297461 ],Positive,True
ürün polygold diyor ama markası YK desıng ama ürün çok iyi maose mükemmel gecelerinde güzel oluyomuş oğlum dedi,5,"the product says polygold, but the brand is yk desing, but the product is very good, my son said, maose looks beautiful at perfect nights",[0.0016648  0.01584684 0.9824883 ],Positive,True
yaklasık 1 aydir gelmedi,1,it hasn't come for about a month,[0.4494997 0.5214688 0.0290315],Non Positive,True
Kargo cok hızlı geldi bu fiyata gayet güzel iş görür. Markası polygold degil hadron,4,"the shipping came very fast, it works very well for this price. the brand is not polygold but hadron",[0.0021158 0.0333172 0.9645671],Positive,True
Arkadaşlar ürün iyi güzel hoş ama malzeme yönünden biraz çalmışlar gibi. Klavye ve mouse elinize aldığınızda o hafifliği hissedebiliyorsunuz ama bir oyuncu için ideal bir ürün. Bunun dışında fiyatıda makul. Alacak arkadaşlara tavsiye ederim.,4,"friends, the product is good, nice, but it seems like they stole it a bit in terms of material. you can feel that lightness when you take the keyboard and mouse in your hand, but it is an ideal product for a gamer. apart from that, the price is reasonable. i will recommend to friends to buy.",[0.00935443 0.04885295 0.94179267],Positive,True
Ürün gayet iyi kızım çok memnun kaldı parasına göre güzel hatta çok iyi,4,"the product is very good, my daughter was very satisfied, it's good for the money, even very good",[0.00151789 0.00977672 0.9887056 ],Positive,True
ürün istediğim büyüklükte değildi herşey için teşekkür ederim,3,the product was not the size i wanted thank you for everything,[0.54265755 0.3519401  0.10540229],Non Positive,True
Işığı vs hiç güzel değil,1,the light is not good at all,[0.975595   0.02200726 0.00239789],Negative,True
yani sey KANSNSJZMNWSKSKAK 150tlik urunden ne beklenir,1,so what is kansnsjzmnwskskak what to expect from a 150t product,[0.21549249 0.75449014 0.03001739],Non Positive,True
teşekkür ederim fiyatına göre gayet iyi,5,thank you very good for the price,[0.0036947  0.02305041 0.97325474],Positive,True
Cok hizli kargo teşekkürler,5,very fast shipping thanks,[0.0034164  0.05167937 0.9449041 ],Positive,True
Ürünün hem fiyatı iyi hem de çok kaliteli bir ürün.Zamanında teslimat güzel iş 👍🏼,5,the product is both a good price and a very high quality product. timely delivery is a nice job 👍🏼,[0.00272772 0.02168666 0.9755857 ],Positive,True
mause kırık geldi gerisine açıp bakmadim bile iade edeceğim,1,"the mouse came broken, i didn't even open it and look at it, i will return it",[0.89973694 0.09251959 0.00774347],Negative,True
Göründüğü gibi güzel. Faresi çok iyi,4,it's beautiful as it looks. mouse is very good,[0.00169895 0.00953202 0.9887692 ],Positive,True
ürün güzel scroll lock tuşuna basınca klavyenin ışıkları yanıyor. Kızıma almıştım kendi de gayet mutlu.,5,"when i press the scroll lock key, the keyboard lights up. i bought it for my daughter and she is very happy with it.",[0.00139106 0.0282528  0.9703562 ],Positive,True
aynı göründüğü gibi gönül rahatlığıyla alabilirsiniz.,5,you can get it with peace of mind as it looks the same.,[0.06923776 0.62685794 0.30390435],Non Negative,True
ürün çok güzel hoşuma gitti tavsiye ederim istediğim gibi geldi çok teşekkür ederim,5,"the product is very nice, i like it, i recommend it, it came as i wanted, thank you very much",[0.00190038 0.00748668 0.99061304],Positive,True
"Mouse ve Klavye kullanışlı, aynı resimde görüldüğü gibiler. Fakat ben ışıklarını daha güzel bekliyordum. Işıklarını gündüz açtığınız zaman pek belli olmuyor yani çok ışık vermiyor. Ama gene de sevdim, fena değil.",4,"mouse and keyboard are useful, they are the same as seen in the picture. but i was expecting better lights. when you turn on the lights in the daytime, it is not very noticeable, so it does not give much light. but i still like it, not bad.",[0.03282558 0.15424623 0.81292826],Positive,True
Gayet güzel kullanışlı fiyatına göre süper Ama kargolama çok güvensiz hiç koruma yok o yüzden 1 puan kırdım,4,"it's very nice, useful, super for the price but the shipping is very unsafe, there is no protection, so i broke 1 point",[0.5957533  0.2730412  0.13120545],Non Positive,False
güzel,3,beautiful,[0.00886657 0.0701412  0.92099214],Positive,True
"Tuşları şık şık çok ses çıkarıyor, faresi tutukluk yapabiliyor ve ben kablosuz sanmıştıımm😿😭daha iyi fıyata daha kaliteli bişey alın derim lakin fiyatı çok düşerse fiyat performans olarak iş görür yani ehh",3,"the keys are stylish, it makes a lot of noise, the mouse is jammed and i thought it was wireless😿😭i would say get something of higher quality for a better price, but if the price drops too much, the price will work as performance so ehh",[0.24472737 0.48278856 0.27248397],Cannot Find,False
gayet iyi fiyatına göre..,3,pretty good for the price..,[0.00840455 0.0826703  0.9089253 ],Positive,True
Fiyatına göre gayet kullanışlı,5,very useful for the price,[0.01376867 0.17479944 0.8114318 ],Positive,True
fiyatına göre gayet ideal,5,perfect for the price,[0.10560898 0.44177818 0.4526128 ],Non Negative,True
Ürün hem kaliteli hem göründüğü gibi şüphe etmeden alabilirsiniz keyifli alışverişler 😀👍,5,"the product is both high quality and looks like you can buy it without doubt, have a pleasant shopping 😀👍",[0.00190877 0.01767921 0.98041207],Positive,True
Fiyatına göre çok iyi,5,very good for its price,[0.00821715 0.08454528 0.9072377 ],Positive,True
Ancak bu fiyata bu düzeyde bir ürün olabilir di başarılı .,5,"however, at this price, a product of this level could be successful.",[0.00983129 0.21686116 0.7733075 ],Non Negative,True
çok güzel ekipmanlar çok memnum kaldım teşekkür ederim,5,very nice equipment i am very satisfied thank you,[0.00199379 0.00932592 0.9886803 ],Positive,True
Baya güzelişiklar felan,5,very beautiful lights,[0.00296867 0.04207637 0.95495504],Positive,True
Bütçesi bu ürüne yeten arkadaşlarımız alabilir güzel ürün.,4,"our friends who can afford this product can buy it, it's a nice product.",[0.00155573 0.02561586 0.9728284 ],Positive,True
nefes alma modu olsa daha da güzel olabilirdi ve biraz mause küçük,3,it would be even better if there was a breathing mode and the mouse is a bit small,[0.07660899 0.2941731  0.6292179 ],Non Negative,True
"fiyat/performans ürünü. fareyi kullanmadım çok iyi değil. klavye çok iyi fakat sol ""ctrl"" tuşuna basınca ""ctrl+z"" kombinasyonu devreye giriyor.",3,"price/performance product. i didn't use the mouse it's not very good. the keyboard is very good, but when i press the left ""ctrl"" key, the ""ctrl+z"" combination comes into play.",[0.29369888 0.41612002 0.2901812 ],Cannot Find,False
Efsaneeeee çekinerek almıştım lakin süperrrr,5,legendeeee i bought it hesitantly but it's superrrrr,[0.00247267 0.03977996 0.95774716],Positive,True
Fotoğraftaki gibi geldi çok beğendim.,5,it came just like in the photo. i like it very much.,[0.00176693 0.01598926 0.98224384],Positive,True
Çok hızlı ve istediğim gibi geldi teşekkürler,5,"arrived very quickly and exactly as i wanted, thank you",[0.00193109 0.02659929 0.97146976],Positive,True
Asla almayın tuşlar şeffaf olmadığı için gece gözükmüyor çok dandik bir klavye!,1,"never buy it because the keys are not transparent, it is not visible at night. it is a very lousy keyboard!",[0.97257    0.02429551 0.00313442],Negative,True
"Oyun oynayan birisi olarak yorumluyorum. Mause hiç beğenmedim çok hafif ve tuşlarına basma duygusunu alamadım, klavyede fiyatına göre iyi iş görür en azından ışıklı :D",3,"i interpret it as a gamer. i didn't like the mouse at all, it's very light and i couldn't get the feeling of pressing the keys, it works well on the keyboard for its price, at least with light :d",[0.69216484 0.25082415 0.057011  ],Non Positive,True
Hızlı Kargo,5,fast shipping,[0.03783847 0.50165385 0.46050772],Non Negative,True
klavye biraz daha güzel olabilirdi ama gayet hoş,5,"the keyboard could be a little better, but it's fine.",[0.04537963 0.3644098  0.5902106 ],Non Negative,True
Mükemmel bişey yok böyle,5,there is no such thing as perfect,[0.5431958  0.39825344 0.05855073],Non Positive,False
klavyede mouse da çok güzel ama mouse biraz küçük,5,"the mouse on the keyboard is also very nice, but the mouse is a bit small",[0.00263339 0.02574661 0.97162   ],Positive,True
Mıka cok hafif oyuncak gibi bır urun,1,mika is a very light toy product.,[0.01178995 0.5428048  0.44540533],Non Negative,False
Fiyatına göre idare eder,4,it handles the price,[0.1743266  0.74237555 0.0832978 ],Non Negative,True
mükemmel bişey,5,something perfect,[0.020118   0.1801351  0.79974693],Non Negative,True
teşekkürler ışıklı olduğu için aldı Oglum,5,thank you for being light son,[0.00258882 0.05581143 0.9415996 ],Positive,True
gayet hoş kardeşim çok beğendi şimdilik dorun yok,5,very nice my brother liked it a lot,[0.00156371 0.01135561 0.9870806 ],Positive,True
Belirtildiği gibi geldi sağlam güzel çalışıyor tavsiye ederim,5,"arrived as stated, works well, i recommend",[0.00228045 0.036576   0.9611434 ],Positive,True
Klavye ve mouse dan oğlum çok memnun kaldı. Özellikle ışıklı olması ayrıca çok hoşuna gitti. Fiyatı da çok uygun teşekkürler,5,"my son was very satisfied with the keyboard and mouse. he especially liked that it was illuminated. very good price, thanks",[0.00167445 0.01017345 0.98815215],Positive,True
ürün aynı göründüğü gibi ben çok beğendim ve kargo çok hızlıydı mükemmel,5,the product looks the same i like it very much and the shipping was very fast perfect,[0.00218432 0.01372125 0.9840945 ],Positive,True
Ürün gerçekten harika. Mouse çok konforlu ve ele oturur. Klavye de gayet kaliteli ancak biraz hafif geldi tek problemi o.,5,"the product is really great. the mouse is very comfortable and fits in the hand. the keyboard is also of good quality, but it felt a little light, that's the only problem.",[0.00817255 0.02839968 0.9634279 ],Positive,True
Mouseyi beğendim keşke klavye içi de ışıklı olsa,4,"i like the mouse, i wish the keyboard was illuminated",[0.0340585  0.30243453 0.663507  ],Non Negative,True
Işıklandırma çok kalitesiz,3,lighting is very poor,[0.95205015 0.04422586 0.00372408],Negative,True
Çok başarılı ürün hızlı teslimat ışıklı mışıklı 🤪,5,very successful product fast delivery with light and mix 🤪,[0.00183451 0.04292269 0.9552428 ],Positive,True
Fiyatı diğer sitelere bakış çok uygun çok güzel LED ışıklı herşey eksiksiz geldi tavsiye ederim,5,"the price is very affordable, looking at other sites, very nice led light, everything came complete, i recommend",[0.00168598 0.01550888 0.9828053 ],Positive,True
Kardeşime oyun oynaması adına aldım renkleri güzel tuşlarıda baya sağlam fiyat performans ürünü biz çok sevdik,5,"i bought it for my brother to play games, it's a very solid price performance product with nice colors and keys, we loved it",[0.00134028 0.01049939 0.9881605 ],Positive,True
Çok dandik bir ürün verilen paraya değmez. Klavyede tuşların çoğu çıkmıştı. Sadece patpat naylona sarılıydı bir kargo poşetine bile konulmamış. Özensiz. Diğer ürünüm gelmedi bile. ledleri iyi değil.,3,very poor product not worth the money. most of the keys on the keyboard were gone. it was just wrapped in plastic wrap and not even put in a shipping bag. sloppy. my other product has not even arrived. leds are not good.,[0.9744038  0.02258528 0.0030109 ],Negative,True
Çok beğendim tesekkur ederim,5,i like it very much thank you,[0.0019157  0.01228367 0.9858005 ],Positive,True
Kargo berbat. 3 gündür hala hazırlık aşamasında. Bu satıcı ile alış veriş yapmamanızı öneririm. Çok umursamazlar. 1 yıldız bile çok bunlara !!!,1,shipping sucks. it's still in preparation for 3 days. i recommend not doing business with this seller. they don't care much. even 1 star is too much for these!!!,[0.9734239  0.02339339 0.00318271],Negative,True
fiyatina gore oldukca iyi,5,pretty good for the price,[0.00786894 0.07924329 0.9128877 ],Positive,True
ürün gayet iyi paketlenmiş bid biçimde geldi ürün gayet f/p bir ürün tavsiye ederim.,5,the product came in a very well packaged bid form. the product is very f/p. i recommend a product.,[0.00303478 0.04069114 0.95627415],Positive,True
ürün tam göründüğü gibi geldi teşekkürler.,5,"the product arrived exactly as expected, thank you.",[0.0028258  0.02688735 0.97028685],Positive,True
güzel fotoğraftakinin aynısı,4,nice same as photo,[0.01488653 0.19739228 0.7877212 ],Non Negative,True
KALİTESİ GÜZEL VE RENKLİ OLUŞU MÜTHİŞŞ. KIZIM ÇOK SEVEREK KULLANIYOR!! Tşkler🙏😊,5,the quality is beautiful and the colors is amazing. my daughter loves using!! thanks🙏😊,[0.00141215 0.00574114 0.99284685],Positive,True
Ürün fiyata göre çok iyi renklee harika,5,"the product is very good for the price, the color is great",[0.00162134 0.00953685 0.9888418 ],Positive,True
Renkler dalgalı ola bilirdi,3,colors could be wavy,[0.06651319 0.7561006  0.17738625],Non Negative,True
Fiyat performans olarak çok iyi,5,very good for price performance,[0.00791423 0.08498368 0.907102  ],Positive,True
tuslar cok sert bir gamer olarak asla begenmedim bu olayi ama fiyat performans ürünü isiklandirma dandik sol alttaki ctrl tusu bazen islemiyo ve enter tusu fotoğrafta göründüğü gibi değil 5 yildiz uzerinden 2 yildizi hak eder,2,"as a very hard gamer, i never liked this event, but the price performance product, the lighting is crap, the lower left ctrl key sometimes doesn't work and the enter key is not what it looks like in the photo, it deserves 2 stars out of 5 stars",[0.9688134  0.02757996 0.00360653],Negative,True
mük ama renk deyiştirse daha güzel olur,4,it's ok but it would be better if the color changed,[0.0945586  0.56084555 0.34459582],Non Negative,True
ürün gözüktüğü gibi çok parlak olmasada iyi,5,"the product is good, although not as bright as it appears.",[0.01372726 0.11432937 0.87194324],Positive,True
Çok kaliteli böyle geleceğini tahmin etmemiştim,5,i didn't expect it to be so good quality.,[0.55002886 0.350158   0.09981304],Non Positive,False
güzel herşey gerçekten çok başarılı klavyeye sadece birazdaha fazla ışık eklenebilir teşekkürler,4,"nice everything is really good, just a little more light can be added to the keyboard, thanks",[0.0021157  0.02221155 0.97567284],Positive,True
Çocuklarım çok beğendi,5,my kids liked it very much,[0.00186288 0.02565587 0.9724812 ],Positive,True
Çok kaliteli bi ürün üstüne şu ďöküldü halen çalışıyor 10 numara elinize saglik,5,"on top of a very high quality product, the following collapsed, still working, number 10, thank you",[0.02158387 0.11722631 0.8611897 ],Positive,True
ürün kullanışlı almak isteyenlere tavsiye ederim 👍,5,i recommend it to those who want to buy the product useful 👍,[0.00217613 0.0699991  0.9278247 ],Positive,True
gayet güzel ürün fiyati makul ve rgb olmasi çok daha iyi fakat bir uygulama ile renkleri degistirebilsek daha guzel olurdu,4,"very nice product, the price is reasonable and it is much better to have rgb, but it would be nice if we could change the colors with an application",[0.00806824 0.06676906 0.92516285],Positive,True
Klavye çok hoşuma gitti hala kullanıyorum yanlız mause çöp!!!,3,"i like the keyboard very much, i still use it, only the mouse is garbage!!!",[0.27307042 0.3056243  0.42130524],Cannot Find,False
ürün plastigi çok hoşuma gitmedi. klavye ışıklandırması bence gece için 5 para etmez klavyedeki tuşların gece ne oldugu görülmüyor,1,"i did not like the product plastic very much. the keyboard lighting is worthless for the night, i don't see what the keys on the keyboard are at night",[0.97544    0.02215401 0.00240612],Negative,True
"herhangi bir sorun olmadı şu ana kadar, küçük kuzenim çok begendi",5,"no problems so far, my little cousin loved it",[0.00323992 0.02031052 0.97644967],Positive,True
tşkl ürün beklediğim gibi,5,nice product as i expected,[0.01478044 0.08691059 0.89830875],Positive,True
Geç teslimat,3,late delivery,[0.29317755 0.60435444 0.10246793],Non Positive,True
Renkleri değişse daha da güzel olurmuş. Kablolu güzel,4,it would be even better if the colors changed. wired beautiful,[0.01619547 0.07858546 0.905219  ],Positive,True
çok güzel ışıklı da ben aldim alana hayırlı olsun.,5,"very nice light, i bought it, good luck to the buyer.",[0.0023166  0.02346046 0.9742229 ],Positive,True
Kargo hızlıydı ancak üründen beklentiniz fazla olmasın.Üstüne biraz daha katıp daha iyisi alınabilir.,5,"the shipping was fast, but don't expect too much from the product. you can add a little more and get a better one.",[0.02709838 0.23656768 0.73633385],Non Negative,True
çok hızlı geldi,5,it came very fast,[0.06913157 0.56688803 0.36398023],Non Negative,True
mükemmell bir ürün👌 fakat kargo biraz gecikti,4,a perfect product👌 but the shipping was a little late,[0.17610148 0.369015   0.45488352],Non Negative,True
Çok hızlı Bi şekilde geldi ve ürün çok iyi,5,it came very quickly and the product is very good,[0.00167104 0.01266402 0.9856649 ],Positive,True
ışıklarına aldanmayın fp ürünü idaretlik alınabilir uzun vadede hayal kırıklığı yaratır kullanım konforu 10 üzerinden 4,3,don't be fooled by the lights fp product can be used to disappoint in the long run comfort of use 4 out of 10,[0.5495359  0.39893797 0.05152626],Non Positive,True
Fiyatına göre gayet kaliteli bir ürün. Hızlı kargo için de teşekkürler,4,it is a very good quality product for its price. thanks for the fast shipping too.,[0.00185067 0.01146513 0.9866844 ],Positive,True
Ürün basit ama normal şartlarda iş görür parasına göre tabikide güzel,5,"the product is simple, but it works under normal conditions, of course, it's nice for the money.",[0.00864603 0.08732697 0.904027  ],Positive,True
Çok iyi Çok hızlı bir şekilde geldi,5,very good arrived very quickly,[0.00264663 0.02925059 0.96810275],Positive,True
Hızlı Kargo için çok teşekkür ederim anlayışınız için,5,thank you very much for your understanding for fast shipping,[0.00180719 0.01426792 0.9839248 ],Positive,True
Ürün efsane ve kargo çok hızlı,5,the product is fabulous and the shipping is very fast,[0.00240769 0.01391931 0.98367286],Positive,True
hızlı kargo ve kaliteli ürün 10 numara,5,fast shipping and quality product number 10,[0.00632449 0.16377191 0.8299036 ],Positive,True
mouse berbat kağıt gibi hafif,4,mouse is light as crappy paper,[0.8437552  0.14147183 0.01477302],Negative,False
Kargo hızlıydı.,5,shipping was fast.,[0.04264728 0.7054024  0.25195044],Non Negative,True
çok kaliteli ve erken geliyor,5,very good quality and arrives early,[0.0046187  0.07012675 0.9252544 ],Positive,True
İlanda baska eve gelen baska ürün,1,another product that came to another house in the ad,[0.10224657 0.8485536  0.04919984],Neutral,False
accayip kötü bir plastik kokusu var ve mouse biraz dandik onun dışında beğendim f/p ürünü,4,it has a weird bad plastic smell and the mouse is a bit cheesy other than that i like it f/p product,[0.6505559  0.27040738 0.07903675],Non Positive,False
Fiyat kalite açısından iyi. Sadece mouse çok hafif. Ama iyi tavsiye ederim.,5,price is good for quality. the mouse is just too light. but i highly recommend it.,[0.00561318 0.04276611 0.95162076],Positive,True
yani ilgilenmeleri çok güzel kesinlikle tavsiye ederim,5,"so they are very nice, i would definitely recommend",[0.0016915  0.01065216 0.9876564 ],Positive,True
Işıkları güzel ama pek kullanışlı gelmedi,3,the lights are nice but not very useful.,[0.6971402  0.24276082 0.06009893],Non Positive,True
sırunsuz ulaştı elime bu fiyata daha iyisini alamazsınız,5,"arrived undamaged, you can't get better for this price",[0.10656646 0.31464624 0.57878727],Non Negative,True
fiyata gore iyi bir ürün kargoda hızlı,5,"good product for the price, fast shipping",[0.00407564 0.05033575 0.94558877],Positive,True
Kullanışlı ve uygun fiyar,5,useful and affordable price,[0.43026736 0.42045164 0.1492809 ],Non Positive,False
urun guzel hızlı geldi sorunsuz calısıyor ışıklarıda yanıyor tesekurler,5,"the product is beautiful, it came quickly, it works smoothly, the lights are on, thank you",[0.00151677 0.00748658 0.99099666],Positive,True
Fiyatına göre makul. Renkleri görselsek kadar canlı değil sadece,5,reasonable for its price. it's just not as vibrant as if we see the colors,[0.67937744 0.2880874  0.03253508],Non Positive,False
ürün gayet güzel fiyatına göre kullanışlı,5,the product is very useful for the price,[0.00367553 0.04074993 0.9555745 ],Positive,True
bu paraya iyi👍,5,good for this money,[0.02683594 0.25110382 0.72206014],Non Negative,True
Fiyat ürün olarak makul alınabilir teşekkürler,5,"the price can be taken as a reasonable product, thanks",[0.01146628 0.2644103  0.7241234 ],Non Negative,True
fiyat performans olarak gayet iyi tavsiye ederim,5,i highly recommend it for the price,[0.00349044 0.04573917 0.9507704 ],Positive,True
Fiyat performans çok iyi teşekkürler,5,price performance very good,[0.00542422 0.05032109 0.9442549 ],Positive,True
Bu fiyata gayet güzel ürün teşekkürler,5,very good product for this price thank you,[0.00216759 0.01145356 0.9863788 ],Positive,True
ürün harika ışıkları olsun mouse kalitesi ama klavye boyutunu biraz daha büyük yapabilirdiniz,4,product great lights mouse quality but you could make the keyboard size a little bigger,[0.03193197 0.369423   0.598645  ],Non Negative,True
fiyatina gore cok iyi 🙏,5,very good for the price,[0.01266865 0.09788201 0.88944936],Positive,True
kaliteli ve fiyatına göre çok iyi tavsiye ederim,5,i highly recommend it for good quality and price.,[0.00257405 0.02933533 0.9680908 ],Positive,True
Fiyatına göre gayet güzel,5,pretty good for its price,[0.00563969 0.07278197 0.9215784 ],Positive,True
Güzeldi kullanılışlı,5,nice and useful,[0.00619418 0.10106865 0.8927371 ],Positive,True
Işıkları pek parlak değildi ama gayet kullanışlı ve ucuz,3,the lights were not very bright but very useful and cheap.,[0.03448227 0.19634534 0.7691722 ],Non Negative,True
fareye alışmam biraz zaman aldı alıştıktan sonra çok güzel. klavye de yazı yazmak çok keyifli tuş dokunuşu vs çok güzel ayrıca lol oynarken de kullanıyorum çok hoşuma gitti :),5,"it took me a while to get used to the mouse, once i get used to it, it's very nice. it is very pleasant to write on the keyboard, the key touch is very nice, i also use it while playing lol, i really like it :)",[0.00191634 0.01032919 0.98775434],Positive,True
boyutu küçük,3,small in size,[0.11789587 0.76867074 0.11343332],Non Negative,True
1 ay sonra USB aktif dışı kalıp durmaya basladi,1,after 1 month the usb stopped being active and stopped.,[0.7417777  0.24853031 0.00969191],Non Positive,True
Bu fiyata gayet güzel ışıkları çok güzel yanıyo mause kaliteli,5,"it's very nice at this price, the lights are burning very well, the mouse is good quality",[0.00146075 0.00881297 0.98972625],Positive,True
"Kargo hızlıydı ve özenli paketlenmişti. Fakat ürün pek hoşuma gitmedi, çok basit ve çabuk bozulup kırılacak gibi.",4,"shipping was fast and well packaged. but i didn't like the product very much, it's too simple and seems to break easily.",[0.8815909  0.10520399 0.01320504],Negative,False
